Indukčnosti;;
L1;100uH 2A pp. 50kHz;radiální
;;
Rezistory ;;
R1;CdS 5mm;-
R2, R45;47k 5% ;R0207
R3;150k 5% ;R0207
R4;10k 1%;R0207
R5, R47;47R 5%;R0207
R6;2k2 5%;R0207
R7, R8;2R2 5%;R0207
R9;390k 1%;R0207
R10;100k 1%;R0207
R11 ;6k8 1%;R0207
R12 .. R23;22k 5%;R0207
R30 .. R35;;
R24 .. R29;330k 5%;R0207
R36;1k 5%;R0207
R37, R38;10k 5%;R0207
R43, R44;;
R39 .. R42, R46;560R 5%;R0207
;;
Kondenzátory;;
C1;470uF 16V ;elektrol. radiální
C2, C3, C9;100n 16V;keramický
C10, C11;;
C4;100p 16V ;keramický
C5;10n 16V ;keramický
C6 ;1n5 16V ;keramický
C7;2n2 16V ;keramický
C8;4,7uF 250V ;elektrol. radiální
;;
Diody;;
V1;1N4007;-
V2;UF4007;-
V3..V7;1N4148;-
;;
Tranzistory;;
VT1;IRF740;upevnit k DPS
VT2..VT7;MPSA92;-
VT8..VT13, VT15;MPSA42;-
VT14, VT16;BC547 ;-
VT17;BC556 ;-
;;
Integrované obvody;;
A1;MA7805;upevnit k DPS
A2;UC3845;-
D1;74x42;-
D2;74x141;-
;;
Výbojky;;
E1..E6;Z57xM, ZM1080(T) a ekvivalentní;
;;
Konektory;;
X1;zdířka souosá;5,5mm/2,1mm
X2..X7;hřeben, samec;2,54mm
;;
Pojistky;;
F1;podle celk. odběru;5x20mm
pouzdro pro F1;PTF76 ;15mm rozteč
